text,label
LG Electronics has signed a deal to supply vehicle parts for Tata Motors     ,__label__2
The electronics company will supply frame molds for Tata's new vehicles     ,__label__1
LG's vehicle components division has signed a deal with Tata Motors to supply the frame molds     ,__label__2

Honeywell has played a crucial role in helping us streamline our supply of vehicle control products and ensure we do not lose precision time or revenue due to delays in delivery   ,__label__1

Honeywell’s Pune facilities currently manufacture nearly 80 percent of its total supply of vehicle control products for Tata Hitachi   ,__label__2

We aim to provide solutions that help solve critical challenges in their supply chain   ,__label__1

The localized capabilities enable Honeywell to better supply parts to Tata Hitachi under tighter delivery windows and provide the manufacturer more time to test machinery for quality assurance   ,__label__2

Honeywell has developed a localized manufacturing and supply chain strategy in Pune  India  to more efficiently provide vehicle control products to Tata Hitachi’s three India-based manufacturing plants   ,__label__2

Tata AutoComp  which has an existing footprint of about 45 manufacturing plants (India: 36; overseas: 9)  operates across three divisions: interiors and plastics division (referred as IPD internally)  the composites division  and supply chain management   ,__label__1

The parts  manufactured for CFM`s LEAP engine  will be used for GE`s global supply chain  the companies said   ,__label__1
Hyundai Mobis is a public South Korean car parts company which is the parts and service division of Hyundai Motors and also supply parts to Hyundai owned Genesis Motors and Kia Motors   ,__label__2
a global supplier of clean air and ride performance products and systems  is supplying the emission control system on the all-new 2016 Lexus RX luxury crossover platform  currently in production   ,__label__2
The company is supplying both hot- and cold-end components  including the front pipe assembly  Y-pipe  underbody converter  muffler and tailpipe assemblies.   ,__label__1
Tata Hitachi has given the annual Sustained Excellence on Delivery Award to its top supplier in India   ,__label__1
This year  Honeywell was evaluated against more than 30 of Tata Hitachi’s top suppliers   ,__label__1
New Delhi: India-based construction machinery manufacturer Tata Hitachi has awarded Honeywell (NYSE: HON) its Sustained Excellence on Delivery Award  recognizing the company as its top-performing component supplier in 2014   ,__label__1
We are more than just a component part supplier to our partners   ,__label__1
Tata Hitachi recognizes Honeywell as top supplier in india   ,__label__1
Tata Hitachi supplies in a ratio of 40:60 to local and export RHD market globally to the Jeep Compass   ,__label__2
The Tier 1 supplier also deployed multiple SPMs (ultrasonic welding and punching) to develop over 60 variants of these parts for Jeep   ,__label__2

Tata AutoComp Systems  one of India’s largest component suppliers  clearly found the Tech Day a good platform to showcase a plethora of new and upcoming products engineered and developed by its own business divisions and joint ventures   ,__label__1
